clt_id,clt_tax_nb,clt_emp_1,clt_emp_2,clt_emp_3
1167,1,21466,,
779,7,22464,,
1138,10,,94411,
149,8,,205307,7621
485,12,98904,,32778
1381,7,27051,,
1584,12,,,
1079,4,99350,,
386,1,176083,,
618,3,40578,,
1023,5,31822,,
692,8,116650,,
727,7,135026,,
906,8,,237909,
536,1,,,31436
742,1,60773,,21088
1523,10,112151,,
317,7,,146039,
1265,6,135355,,
836,8,73859,,
1588,1,,196115,
356,1,29281,,33909
1300,2,89820,,24057
295,11,167240,,16429
310,11,,280583,18820
520,11,,139043,
530,10,22834,,43555
295,2,188163,,43918
1023,9,53595,,
983,3,,287934,28541
765,1,109889,,23203
1049,1,44906,,24151
774,2,150695,,
1321,6,,51508,
826,7,99938,,6259
443,7,138390,,
437,1,33143,,33741
542,12,111147,,
1405,6,28571,,31337
456,1,91370,,34971
30,2,182015,,
550,5,,255012,
238,11,80147,,
1430,1,183965,,
138,10,163248,,
761,3,,184617,
1603,1,,138758,
1003,10,51759,,
588,6,,210531,
1087,1,,259646,
1509,1,100392,,14522
1493,4,96952,,
463,4,47237,,
1339,9,102095,,15099
1527,1,171349,,25804
553,3,159139,,
92,2,59682,,
1389,4,118983,,
482,6,145645,,
516,10,89667,,
1212,8,,256991,27588
1590,2,,,14240
1453,1,80160,,
1568,5,109495,,16353
360,5,19235,,
1539,6,120577,,
436,1,,,
11,9,59475,,20874
366,1,,62678,
1634,7,,81287,
470,11,,259445,
408,11,103870,,
263,1,69947,,10160
1098,12,175573,,33428
1124,11,39197,,38759
950,1,,197659,12437
255,1,98017,,
1544,4,162422,,
1208,1,,111800,
342,6,80416,,
193,2,93394,,
1417,11,64526,,
560,4,97297,,
396,1,,109128,34277
925,4,165576,,
1239,5,51908,,
678,6,127274,,
1493,1,139275,,
541,1,192054,,
681,10,76845,,
651,1,,123350,37263
1409,12,170882,,
681,1,184751,,
286,5,,293093,
289,2,111562,,
12,4,98585,,31011
1508,12,,255761,
1114,1,166200,,
810,2,115299,,
263,4,45767,,28702
968,9,71623,,17571
685,5,27403,,
753,4,88722,,9679
1310,5,,248467,
1094,10,177523,,
1607,5,178439,,13111
1531,3,178396,,24600
1065,4,135978,,
786,12,183153,,32576
481,1,142828,,
118,5,16524,,
1397,3,,296832,
1166,12,155961,,
834,8,27625,,
1032,1,,174650,7571
632,2,51367,,
588,1,,172298,
226,4,185049,,
798,1,127813,,44555
1386,12,95655,,
583,10,115719,,
125,10,,270996,
163,2,22481,,
686,1,183455,,
40,11,162998,,
755,10,125755,,42267
1379,6,,229978,
453,2,144214,,26348
1331,2,150492,,
222,6,162275,,
1221,11,166525,,13288
925,8,190551,,
589,1,,278288,
1408,6,154151,,13837
1521,10,105468,,14272
793,11,133125,,
344,8,48884,,
405,9,69267,,14010
1397,2,,286767,
1321,7,,273448,
260,1,77463,,12036
1042,1,52960,,
1174,1,148680,,19959
229,12,68723,,44530
215,2,78557,,16112
900,12,,223658,7435
1565,9,107763,,
582,1,28132,,
420,10,,75860,22168
757,7,82873,,
874,2,82551,,
1155,12,139977,,
1135,5,124218,,30718
315,1,85142,,
398,8,114210,,41541
645,9,33152,,30297
788,10,,289572,
849,5,168276,,8577
2,4,53547,,
642,6,23704,,
725,2,56989,,
151,10,190423,,
773,1,89293,,
554,7,41124,,
7,12,69450,,
1247,4,100307,,
525,1,,104242,
1516,5,173174,,7450
784,2,,194656,
169,4,104597,,
235,5,117875,,
617,1,68360,,40521
51,1,64177,,10902
1368,11,50852,,
1631,11,20954,,
1118,11,86617,,
717,10,35391,,16016
280,8,107539,,
1527,7,168707,,11613
737,7,142513,,
983,10,,102982,32712
1107,1,137812,,
1450,10,,194846,
1574,9,56864,,
606,10,82150,,
1463,11,34060,,12562
1562,1,97528,,
598,4,156405,,
834,4,16861,,
248,3,94611,,
365,3,156132,,
1313,1,152077,,19216
471,1,80054,,35013
407,9,40127,,
946,2,75113,,
1010,1,184856,,6924
743,10,48544,,11331
1239,12,145553,,
255,12,64942,,
80,11,,169972,43319
787,7,77157,,38606
1138,1,,67347,
32,1,26315,,
58,4,16984,,
1132,10,,113462,
12,3,111632,,30952
744,1,141925,,
1585,2,190417,,22655
374,8,199194,,
435,1,163668,,
1285,11,,281386,35439
378,12,162445,,
285,9,53797,,
1330,3,49085,,24047
1527,4,191388,,38110
656,11,29039,,
511,10,,282323,
308,8,67401,,
456,12,85110,,21125
106,3,,115586,
1051,4,55150,,
473,6,182589,,35179
612,1,,,
431,5,100108,,
91,10,,185324,
538,1,35529,,
1389,8,144024,,
430,5,,,
208,3,132187,,
242,8,61076,,25994
1166,8,88254,,
718,9,118334,,
974,7,54432,,12109
1138,4,,188090,
912,11,116897,,
402,2,163278,,
1505,9,,,7193
47,10,99611,,35358
361,12,82929,,
1457,9,163144,,25323
1482,5,78211,,23372
649,9,,291793,11340
280,6,94649,,
698,1,55554,,
1339,1,154690,,8324
1587,9,,56496,
852,9,43249,,
741,5,115832,,44131
155,4,77726,,
1422,1,159382,,
848,7,115763,,
116,7,66388,,44537
1129,4,69797,,23081
1118,9,116200,,
310,10,,299639,35288
1473,10,63612,,15176
1026,11,,191784,
1277,4,90293,,
332,6,,116642,
44,9,181377,,
125,4,,107869,
1507,7,93520,,10235
401,4,,,32694
682,2,60399,,12925
1464,1,,110433,23732
67,6,39335,,
1316,9,50930,,
967,2,,,
675,3,,185423,
1605,9,101915,,
716,1,100200,,11211
366,2,,285598,
1600,1,,129162,
465,6,133794,,33155
1456,1,146619,,
769,2,164302,,10169
1479,2,80116,,31199
1508,10,,297989,
1258,11,83903,,
1346,6,154539,,38487
959,7,68894,,
1136,11,76588,,9516
1545,10,48642,,
739,6,54698,,
50,12,127950,,22259
160,1,,92838,5091
366,12,,270484,
1598,1,57694,,
408,2,82729,,
302,3,,157245,
652,4,165732,,34278
1409,6,182445,,
1022,3,,,
442,2,,151178,
303,1,78497,,
1401,6,,299564,12268
1304,1,,,
47,3,41236,,35551
1344,7,,178778,32415
894,1,149335,,
1626,2,,,44137
524,11,48195,,
466,7,85424,,
241,9,111155,,
151,3,165753,,
499,12,,263341,24498
1537,5,134959,,14257
1506,9,,252085,39587
162,9,142018,,
739,9,149861,,
897,5,91760,,
466,11,185910,,
1191,3,120045,,13233
1131,11,50111,,
1498,12,168917,,
200,1,,114758,16564
711,8,,233420,18987
1547,10,168581,,44806
236,10,180220,,8180
1079,2,39840,,
1206,5,118031,,37417
1544,1,99409,,
80,6,,103971,21559
360,8,108301,,
822,1,61447,,
635,10,76541,,29441
75,9,,278140,
136,2,47071,,
871,2,143337,,34669
1626,10,,,13825
1599,1,,93301,
1479,8,41477,,13186
600,3,195165,,
1256,7,172345,,37840
858,3,57691,,
1026,7,,231513,
64,8,,175079,28278
737,6,157637,,
1212,2,,254368,38973
226,1,34191,,
391,2,37017,,6157
239,10,174543,,
1241,8,132981,,29863
484,3,,263136,
620,3,183831,,6298
824,7,110492,,16596
1091,12,,124952,41418
1579,4,138564,,23339
1313,5,192063,,32166
156,5,82353,,
196,1,142140,,
1392,2,127759,,25556
1278,10,47456,,
540,8,,134133,
869,2,67541,,
518,3,20376,,24401
850,6,,,
1109,11,90475,,38100
280,10,109607,,
134,6,108686,,
1260,2,25484,,38564
847,4,,91977,38766
161,6,148844,,41069
867,9,174118,,
1531,5,36395,,16397
1507,11,70227,,14183
1365,9,,50639,8687
422,11,194625,,
858,11,106811,,
496,2,198077,,
1569,8,153800,,
622,1,61129,,
22,1,,123267,
528,3,,,39984
102,6,,204047,14441
864,4,19516,,23071
797,1,195045,,
876,6,,55058,
961,4,27998,,
244,10,,142705,13569
1505,3,,,5541
1021,8,94897,,28974
1356,2,106197,,
728,2,197074,,
502,11,,,
1539,3,114226,,
1179,5,37640,,
212,10,194893,,
1379,12,,268384,
791,8,178599,,
736,6,161030,,34941
151,4,194915,,
1031,3,50573,,
1429,6,,73214,13933
1106,1,167859,,
869,10,49324,,
210,2,180242,,27918
656,1,175306,,
1154,3,149116,,
957,6,150172,,
1271,8,196358,,
709,5,160306,,
528,1,,,8393
335,3,94734,,21180
1306,10,,237458,18503
1048,1,136812,,22675
129,1,,77503,10303
287,10,92303,,
1306,6,,189154,41735
819,4,135940,,
323,12,96560,,42922
1196,12,,,
1532,1,48529,,
1569,1,17520,,
500,1,,189583,
1047,7,139780,,30242
897,10,37972,,
340,2,62993,,28028
1530,5,,,
854,1,15371,,25733
390,10,89725,,43187
125,8,,238391,
1491,3,,243889,
280,5,181994,,
1593,1,181023,,
1395,6,49860,,
508,4,57021,,28833
437,9,124838,,21054
939,8,139648,,
631,5,58387,,
2,1,108351,,
1184,12,166498,,
1273,7,,231860,
579,7,73322,,
844,1,,220109,
1609,8,153935,,39254
1274,12,139987,,
499,2,,78739,40976
1539,4,67247,,
499,5,,83662,13122
951,11,,111051,15770
777,1,52838,,
1104,6,185792,,22205
266,1,,298430,
380,11,,,34657
1436,7,21444,,7276
1228,1,137934,,
766,11,191501,,27999
1112,7,72876,,29407
42,8,53295,,25232
763,1,91619,,
617,12,20343,,31192
991,12,,,27289
393,9,,,
859,8,44595,,
1540,2,128833,,24527
384,3,,109549,
1495,4,118356,,
1574,11,60944,,
55,12,129059,,25855
937,1,,75647,
902,4,146438,,10593
534,1,198198,,27776
820,1,,107925,11356
904,1,175030,,
653,5,34971,,8408
1248,3,82913,,7709
1507,10,141035,,36274
1436,4,21886,,13000
1156,1,63959,,
1384,12,79349,,22316
66,12,179556,,
265,7,147031,,39181
1175,7,148379,,
1233,5,,,
146,12,38901,,34953
531,11,,157893,20847
1384,6,114114,,9478
607,5,85606,,
422,4,117784,,
1178,9,16897,,
12,9,25565,,8619
109,8,159646,,
848,10,95157,,
707,8,95902,,24593
280,1,19145,,
1586,6,192174,,41622
1285,2,,107822,42689
950,12,,93269,16419
171,3,148347,,28526
140,4,51350,,
1519,4,,128274,23540
978,5,23012,,21368
1036,8,95295,,34408
187,10,154526,,
647,4,67307,,9587
187,12,181019,,
208,11,88264,,
529,10,82057,,9836
1343,5,117146,,
1156,4,53682,,
1169,1,129385,,40241
628,1,,75068,
565,1,165715,,
1081,8,47761,,
379,10,154914,,
723,3,187526,,
595,9,153234,,16128
1298,9,,224434,
264,3,74975,,
1146,9,,,7380
1231,2,107728,,
447,8,195311,,13704
1302,7,182466,,
458,12,,115156,16730
1016,9,61017,,
61,12,,160988,
1323,7,103226,,10387
1049,4,158829,,6182
1367,7,,110823,
789,5,129661,,
1434,5,76454,,
1254,8,,106329,
1345,2,94768,,
1192,1,108133,,
1329,2,189327,,
765,4,94307,,37311
1300,7,76555,,19468
889,8,113616,,
245,8,,159515,
1244,9,114389,,
1051,6,186971,,
1300,5,47765,,20762
1234,5,73184,,
481,12,126165,,
343,9,,191615,
640,11,165738,,
1324,12,112246,,44190
687,10,186058,,7508
702,3,,150121,29492
639,10,23327,,22224
319,1,62077,,
255,6,122170,,
661,5,,288639,
933,3,197735,,
1554,9,,221902,35440
1321,10,,68727,
530,9,194973,,37506
1285,5,,120450,7020
523,7,35678,,
1013,10,,77529,26167
529,1,131044,,42652
1032,8,,220678,6464
381,8,88076,,
733,7,73075,,
821,4,,119130,5084
1190,11,82492,,
1184,5,59175,,
1082,8,106244,,8827
1081,11,100539,,
1184,9,185473,,
352,9,162959,,
399,8,184231,,
529,6,68622,,30609
719,1,35413,,
314,6,54236,,
1025,5,122835,,
1313,7,32241,,37535
48,1,,283895,28041
125,6,,184909,
1158,3,,251058,12921
696,7,,90720,
704,8,190935,,10776
880,11,,139884,39232
1271,11,193304,,
720,1,53965,,11435
18,8,71514,,8870
1402,11,96004,,
485,2,131371,,17310
566,11,187638,,
112,5,19332,,27048
764,4,,230756,6460
74,12,92999,,
680,1,,,
552,2,42959,,30580
221,11,149671,,
670,5,38596,,
1248,6,43454,,36102
1356,6,78651,,
39,1,,164059,14691
437,12,176914,,23034
541,9,154070,,
125,9,,291938,
1621,5,,72009,
1560,10,92398,,25987
312,12,65973,,30532
785,1,21377,,
736,1,31510,,26540
600,2,66465,,
1534,1,130674,,
1632,8,,,35328
80,2,,167670,22875
576,9,,167965,44571
137,6,60370,,
782,7,42392,,
222,5,103693,,
1340,8,99250,,19237
1408,8,51022,,13981
1496,12,89513,,
1287,6,150130,,
237,8,90078,,
1595,10,148172,,37989
439,1,120411,,14363
811,10,,,10846
960,8,45791,,
111,5,94391,,
689,1,,127368,
1230,4,163229,,
513,5,,120928,
499,8,,77769,19584
523,8,152774,,
1071,11,47534,,13943
307,12,64432,,32809
795,1,113155,,29199
42,6,166144,,17438
1047,11,93692,,20905
982,2,103911,,
1606,11,124548,,
233,12,15152,,
435,6,131372,,
293,1,104687,,
1547,6,44975,,31544
276,1,54571,,20786
1202,9,73423,,
655,11,122992,,
1571,3,,60930,
1514,12,59260,,6209
349,3,,119619,19707
616,10,,74606,
1132,11,,261700,
734,2,,156876,
999,5,137030,,
1152,1,,,34238
1064,7,186019,,
1350,5,,74569,22754
557,1,19939,,8205
1281,2,19851,,
1582,6,,289731,
1630,11,91444,,
53,1,171611,,
753,11,155410,,13513
1021,5,122399,,15788
89,1,,,24265
220,1,,157655,
708,1,52973,,
510,6,,220248,39001
1509,4,103015,,39718
1120,4,52388,,36263
827,11,,150898,
569,5,137707,,
1602,3,173605,,
567,1,19739,,
929,6,107339,,
488,4,181888,,
120,1,,284607,
1190,3,140298,,
1006,6,95309,,
868,2,149643,,
1044,9,97302,,5026
844,2,,195062,
906,7,,166204,
431,8,64380,,
1272,12,21329,,17603
1430,11,69840,,
98,5,114732,,
1081,2,53945,,
1185,5,,119967,
526,1,,180229,29801
190,4,19053,,
109,1,170939,,
656,10,186052,,
534,10,177240,,33934
1385,1,99715,,
612,2,,,
81,1,,131177,31443
152,11,180123,,42306
1217,1,147021,,
753,1,137564,,21937
60,1,180286,,10056
1323,9,99370,,29927
1388,2,172276,,16817
613,4,,247615,
1629,3,196519,,
233,1,21400,,
1635,1,192452,,36804
1511,11,153493,,29488
472,7,156192,,15405
539,9,168789,,16331
138,11,96729,,
119,2,41486,,36442
688,1,52518,,
284,2,,119446,8401
14,2,197670,,
513,4,,263762,
684,9,191437,,5952
786,11,114170,,9326
290,8,192557,,12859
779,4,166899,,
267,5,,,
66,1,111419,,
1194,2,62970,,
276,3,165770,,18774
1265,7,96737,,
1358,9,56188,,
579,1,157615,,
1191,1,26071,,41071
64,12,,100520,41632
1606,12,184575,,
1344,2,,232019,28035
360,3,27952,,
942,7,182864,,
650,5,162082,,
1242,4,176278,,
896,1,,127816,7652
169,8,89435,,
545,3,164530,,
1370,8,162917,,
1424,11,109083,,24029
714,1,,256333,5271
